docname	filename	year	pubtitle	pre	keyword	post
text87456	batch8_58_page0.txt	1942	Newsweek	slow down and be partially reorganized . We reached one of these points early last winter . We have reached another today . When that happens , people begin to yell at each other and a goat is usually sought out and sacrificed . Last winter the crude and flimsy	Reuther	plan featured the transition and Mr . Knudsen was supplanted by Mr . Nelson . Now the outcry is rising again . It is interesting that the same commentators are now complaining about Nelson who last year swallowed uncritically the fallacious Reuther plan . They did that because they knew
text87456	batch8_58_page0.txt	1942	Newsweek	sacrificed . Last winter the crude and flimsy Reuther plan featured the transition and Mr . Knudsen was supplanted by Mr . Nelson . Now the outcry is rising again . It is interesting that the same commentators are now complaining about Nelson who last year swallowed uncritically the fallacious	Reuther	plan . They did that because they knew so little about production . Out of the same ignorance they now cry out about Mr . Nelson . The temporary lag that we see is not due to the failure of Mr . Nelson . It is in the very nature
text88123	batch8_72_page0.txt	1942	Newsweek	DETROIT—Someone ought to do a complete chronological table of the war work of the automobile industry . Then he ought to make a similar chronological table of Mr .	Reuther's	" plan " and the press that endorsed it . Perhaps the following few items , as a starter , will suggest how the two would look side by side .
text88127	batch8_72_page0.txt	1942	Newsweek	What was happening in Washington in October ? A tremendous to-do over	Reuther's	plan for 500 planes of indeterminate type a month , began reaching its climax . Gullible writers said that somebody had forgotten the automobile industry . It was not making war goods , they charged . But of course it was . Two months before this furor I saw completed
text387516	1943-10-28_165458387_1_page0.txt	1943	LAT	ter	Reuther	of the C.I.O . , another speaker ,
text387536	1943-10-28_165458387_1_page0.txt	1943	LAT	lace ) , the big corporations (	Reuther	) ,
text391079	1943-05-29_165430991_1_page0.txt	1943	LAT	of that was Mr .	Reuther's	demonstration
text391085	1943-05-29_165430991_1_page0.txt	1943	LAT	argue for the bill . Walter P .	Reuther	of
text391096	1943-05-29_165430991_1_page0.txt	1943	LAT		Reuther's	speech wandered all over the
text391101	1943-05-29_165430991_1_page0.txt	1943	LAT	on the very day that	Reuther	spoke , of
text391104	1943-05-29_165430991_1_page0.txt	1943	LAT	Leo LaMotte charged	Reuther	with hav -
